Time,Category
1414271593,Deli / Bodega
1414270313,Tea Room
1414194156,Deli / Bodega
1413906199,Juice Bar
1413832588,Italian Restaurant
1413679717,Tea Room
1413487714,Tea Room
1413241528,Deli / Bodega
1413142260,Ice Cream Shop
1413141241,Mexican Restaurant
1413076172,Dessert Shop
1412975361,Tea Room
1412813321,American Restaurant
1412723298,Deli / Bodega
1412652011,Diner
1412549757,Deli / Bodega
1412381194,Tea Room
1412303472,Indian Restaurant
1412264670,Tea Room
1412102612,Tea Room
1412052336,Supermarket
1412036893,Student Center
1412020479,Deli / Bodega
1411954209,Frozen Yogurt
1411953507,Mexican Restaurant
1411700911,College Academic Building
1411691750,Tea Room
1411506964,Mexican Restaurant
1411257752,Ethiopian Restaurant
1411165803,Falafel Restaurant
1411091313,Italian Restaurant
1410388360,Tea Room
1410053071,Clothing Store
1410049316,Neighborhood
1409966939,Italian Restaurant
1409881076,Dessert Shop
1409794941,South Indian Restaurant
1409672292,Deli / Bodega
1409529607,Indian Restaurant
1409529234,Tea Room
1409107338,Museum
1409075732,Indian Restaurant
1408753333,Juice Bar
1408753281,Falafel Restaurant
1408311029,Juice Bar
1407897054,Indian Restaurant
1407760240,Airport
1407736207,Airport
1407732637,Indian Restaurant
1407623052,Indian Restaurant
1407576733,Breakfast Spot
1407526674,Southern Brazilian Restaurant
1407206990,American Restaurant
1407124991,Multiplex
1407120583,Grocery Store
1407120568,Indian Restaurant
1407106822,Go Kart Track
1406869055,Indian Restaurant
1406837849,Bubble Tea Shop
1406833239,Chinese Restaurant
1406775475,Indian Restaurant
1406703645,Supermarket
1406609897,American Restaurant
1406522836,Breakfast Spot
1406513702,Parking
1406482894,Theme Park
1406482485,Theme Park
1406482463,Gift Shop
1406479845,Indian Restaurant
1406433059,Museum
1406433038,Monument / Landmark
1406427213,Plaza
1406427122,Theme Park
1406399757,Theme Park
1406396367,Hotel
1406178121,Coffee Shop
1406144433,Cafeteria
1406093412,Indian Restaurant
1406091944,Café
1406084916,Cafeteria
1405994610,Fast Food Restaurant
1405888813,Movie Theater
1405885414,Indian Restaurant
1405841447,Hookah Bar
1405835840,Indian Restaurant
1405832041,Plaza
1405821764,Plaza
1405820953,Chocolate Shop
1405817184,Monument / Landmark
1405815909,Thai Restaurant
1405810348,Bike Rental / Bike Share
1405647538,Breakfast Spot
1405572975,Coffee Shop
1405140044,Bridge
1405135946,New American Restaurant
1405058788,Hotel
1405042811,Plaza
1404689256,Indian Restaurant
1404678883,City
1404623359,Casino
1404609879,Indian Restaurant
